step_type,from_berth,to_berth,stanox,event,platform,to_line,berth_offset,route,from_line,td,comment,stanme
B,5021,5061,01001,B,1,,-85,1,,IR,16/05/2023,THURSO
B,5261,5021,01001,C,1,,-24,,,IR,16/05/2023,THURSO
B,5121,5161,01005,B,1,,-101,1,,IR,16/05/2023,WICK
B,5271,5121,01005,C,1,,-35,,,IR,16/05/2023,WICK
B,5131,5161,01006,B,,,-75,1,,IR,16/05/2023,WICK SDGS
B,5271,5041,01006,C,,,-25,,,IR,16/05/2023,WICK SDGS
B,5061,5201,01008,A,1,,-23,,,IR,16/05/2023,GEORGMASJ
B,5161,5201,01008,A,1,,-22,,,IR,16/05/2023,GEORGMASJ
B,9161,5291,01008,A,,L,-21,,,IR,16/05/2023,GEORGMASJ
B,9181,5201,01008,A,1,,-21,,,IR,16/05/2023,GEORGMASJ
B,5201,5261,01008,B,1,,-83,1,,IR,16/05/2023,GEORGMASJ
B,5291,5261,01008,B,,L,-83,1,,IR,16/05/2023,GEORGMASJ
B,5371,5201,01008,C,1,,-19,,,IR,16/05/2023,GEORGMASJ
B,9271,5291,01008,C,,L,-21,,,IR,16/05/2023,GEORGMASJ
B,9281,5201,01008,C,1,,-21,,,IR,16/05/2023,GEORGMASJ
B,5201,5271,01008,D,1,,-84,2,,IR,16/05/2023,GEORGMASJ
B,5291,5271,01008,D,,L,-84,2,,IR,16/05/2023,GEORGMASJ
B,9361,5311,01012,A,1,,-29,,,IR,16/05/2023,FORSINARD
B,5261,5311,01012,A,1,,-29,,,IR,16/05/2023,FORSINARD
B,5261,5321,01012,A,2,,-22,,,IR,16/05/2023,FORSINARD
B,9361,5321,01012,A,2,,-22,,,IR,16/05/2023,FORSINARD
B,5311,5361,01012,B,1,,-98,1,,IR,16/05/2023,FORSINARD
B,5321,5361,01012,B,2,,-98,1,,IR,16/05/2023,FORSINARD
B,5471,5321,01012,C,2,,-22,,,IR,16/05/2023,FORSINARD
B,5571,5321,01012,C,2,,-22,,,IR,16/05/2023,FORSINARD
B,5471,5311,01012,C,1,,-29,,,IR,16/05/2023,FORSINARD
B,5321,5371,01012,D,2,,-68,2,,IR,16/05/2023,FORSINARD
B,5311,5371,01012,D,1,,-68,2,,IR,16/05/2023,FORSINARD
B,5361,5411,01016,A,1,,-26,,,IR,16/05/2023,HELMSDALE
B,5571,5411,01016,A,1,,-26,,,IR,16/05/2023,HELMSDALE
B,5411,5461,01016,B,1,,-70,1,,IR,16/05/2023,HELMSDALE
B,5411,5471,01016,B,1,,-70,1,,IR,16/05/2023,HELMSDALE
B,5571,5421,01016,C,2,,-23,,,IR,16/05/2023,HELMSDALE
B,5361,5421,01016,C,2,,-23,,,IR,16/05/2023,HELMSDALE
B,5421,5471,01016,D,2,,-107,2,,IR,16/05/2023,HELMSDALE
B,5421,5461,01016,D,2,,-107,2,,IR,16/05/2023,HELMSDALE
B,5371,9281,01020,C,,,-25,,,IR,16/05/2023,HALKIRK
B,9281,5201,01020,D,,,-60,2,,IR,16/05/2023,HALKIRK
B,5461,5511,01021,A,1,,-27,,,IR,16/05/2023,BRORA
B,5461,5521,01021,A,2,,-27,,,IR,16/05/2023,BRORA
B,5511,5561,01021,B,1,,-72,1,,IR,16/05/2023,BRORA
B,5521,5561,01021,B,2,,-50,1,,IR,16/05/2023,BRORA
B,5671,5521,01021,C,2,,-21,,,IR,16/05/2023,BRORA
B,5771,5521,01021,C,2,,-27,,,IR,16/05/2023,BRORA
B,5671,5511,01021,C,1,,-27,,,IR,16/05/2023,BRORA
B,5361,5511,01021,C,1,,-27,,,IR,16/05/2023,BRORA
B,5521,5571,01021,D,2,,-132,2,,IR,16/05/2023,BRORA
B,5511,5571,01021,D,1,,-132,2,,IR,16/05/2023,BRORA
B,5161,9181,01026,A,,,-25,,,IR,16/05/2023,BOWER
B,9181,5201,01026,B,,,-60,1,,IR,16/05/2023,BOWER
B,5561,5611,01027,A,1,,-31,,,IR,16/05/2023,ROGART
B,5561,5621,01027,A,2,,-36,,,IR,16/05/2023,ROGART
B,5611,5661,01027,B,1,,-113,1,,IR,16/05/2023,ROGART
B,5621,5661,01027,B,2,,-83,1,,IR,16/05/2023,ROGART
B,5771,5621,01027,C,2,,-36,,,IR,16/05/2023,ROGART
B,5771,5611,01027,C,1,,-31,,,IR,16/05/2023,ROGART
B,5621,5671,01027,D,2,,-83,2,,IR,16/05/2023,ROGART
B,5611,5671,01027,D,1,,-113,2,,IR,16/05/2023,ROGART
B,5661,5711,01031,A,1,,-24,,,IR,16/05/2023,LAIRG
B,5661,5721,01031,A,2,,-21,,,IR,16/05/2023,LAIRG
B,5971,5721,01031,A,2,,-21,,,IR,16/05/2023,LAIRG
B,5711,5761,01031,B,1,,-105,1,,IR,16/05/2023,LAIRG
B,5721,5761,01031,B,2,,-105,1,,IR,16/05/2023,LAIRG
B,5871,5711,01031,C,1,,-24,,,IR,16/05/2023,LAIRG
B,5561,5711,01031,C,1,,-24,,,IR,16/05/2023,LAIRG
B,5871,5721,01031,C,2,,-21,,,IR,16/05/2023,LAIRG
B,5711,5771,01031,D,1,,-99,2,,IR,16/05/2023,LAIRG
B,5721,5771,01031,D,2,,-99,2,,IR,16/05/2023,LAIRG
B,5761,5811,01041,A,1,,-21,,,IR,16/05/2023,ARDGAY
B,5761,5821,01041,A,2,,-19,,,IR,16/05/2023,ARDGAY
B,5811,5861,01041,B,1,,-104,1,,IR,16/05/2023,ARDGAY
B,5821,5861,01041,B,2,,-104,1,,IR,16/05/2023,ARDGAY
B,5971,5821,01041,C,2,,-19,,,IR,16/05/2023,ARDGAY
B,5971,5811,01041,C,1,,-21,,,IR,16/05/2023,ARDGAY
